"","DivisionNm","CountNum","Surname","GivenNm","PartyAb","PartyNm","CalculationType","Votes"
"43","Bean",2,"HANLEY","Tony","UAPP","United Australia Party","Preference Count",0
"44","Bean",2,"HANLEY","Tony","UAPP","United Australia Party","Transfer Count",-2454
"45","Bean",2,"RUSHTON","Ben Anthony","GAP","The Great Australian Party","Preference Count",0
"46","Bean",2,"RUSHTON","Ben Anthony","GAP","The Great Australian Party","Transfer Count",0
"47","Bean",2,"SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Preference Count",35834
"48","Bean",2,"SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Transfer Count",312
"49","Bean",3,"CHRISTIE","Jamie Alan","IND","Independent","Preference Count",8964
"50","Bean",3,"CHRISTIE","Jamie Alan","IND","Independent","Transfer Count",503
"51","Bean",3,"COCKS","Edward John","LP","Liberal Party of Australia - ACT Division","Preference Count",32115
"52","Bean",3,"COCKS","Edward John","LP","Liberal Party of Australia - ACT Division","Transfer Count",1959
"53","Bean",3,"DAVIS","Johnathan Reginald","GRN","Australian Greens","Preference Count",12583
"54","Bean",3,"DAVIS","Johnathan Reginald","GRN","Australian Greens","Transfer Count",145
"55","Bean",3,"DONNELLY","Matthew","LDP","Liberal Democratic Party","Preference Count",0
"56","Bean",3,"DONNELLY","Matthew","LDP","Liberal Democratic Party","Transfer Count",-2957
"57","Bean",3,"FAULKNER","Therese Mary","AUP","Australian Progressives","Preference Count",3258
"58","Bean",3,"FAULKNER","Therese Mary","AUP","Australian Progressives","Transfer Count",165
"59","Bean",3,"HANLEY","Tony","UAPP","United Australia Party","Preference Count",0
"60","Bean",3,"HANLEY","Tony","UAPP","United Australia Party","Transfer Count",0
"61","Bean",3,"RUSHTON","Ben Anthony","GAP","The Great Australian Party","Preference Count",0
"62","Bean",3,"RUSHTON","Ben Anthony","GAP","The Great Australian Party","Transfer Count",0
"63","Bean",3,"SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Preference Count",36019
"64","Bean",3,"SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Transfer Count",185
"65","Bean",4,"CHRISTIE","Jamie Alan","IND","Independent","Preference Count",10727
"66","Bean",4,"CHRISTIE","Jamie Alan","IND","Independent","Transfer Count",1763
"67","Bean",4,"COCKS","Edward John","LP","Liberal Party of Australia - ACT Division","Preference Count",32377
"68","Bean",4,"COCKS","Edward John","LP","Liberal Party of Australia - ACT Division","Transfer Count",262
"69","Bean",4,"DAVIS","Johnathan Reginald","GRN","Australian Greens","Preference Count",13318
"70","Bean",4,"DAVIS","Johnathan Reginald","GRN","Australian Greens","Transfer Count",735
"71","Bean",4,"DONNELLY","Matthew","LDP","Liberal Democratic Party","Preference Count",0
"72","Bean",4,"DONNELLY","Matthew","LDP","Liberal Democratic Party","Transfer Count",0
"73","Bean",4,"FAULKNER","Therese Mary","AUP","Australian Progressives","Preference Count",0
"74","Bean",4,"FAULKNER","Therese Mary","AUP","Australian Progressives","Transfer Count",-3258
"75","Bean",4,"HANLEY","Tony","UAPP","United Australia Party","Preference Count",0
"76","Bean",4,"HANLEY","Tony","UAPP","United Australia Party","Transfer Count",0
"77","Bean",4,"RUSHTON","Ben Anthony","GAP","The Great Australian Party","Preference Count",0
"78","Bean",4,"RUSHTON","Ben Anthony","GAP","The Great Australian Party","Transfer Count",0
"79","Bean",4,"SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Preference Count",36517
"80","Bean",4,"SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Transfer Count",498
"81","Bean",5,"CHRISTIE","Jamie Alan","IND","Independent","Preference Count",0
"82","Bean",5,"CHRISTIE","Jamie Alan","IND","Independent","Transfer Count",-10727
"83","Bean",5,"COCKS","Edward John","LP","Liberal Party of Australia - ACT Division","Preference Count",36670
"84","Bean",5,"COCKS","Edward John","LP","Liberal Party of Australia - ACT Division","Transfer Count",4293
"85","Bean",5,"DAVIS","Johnathan Reginald","GRN","Australian Greens","Preference Count",16533
"86","Bean",5,"DAVIS","Johnathan Reginald","GRN","Australian Greens","Transfer Count",3215
"87","Bean",5,"DONNELLY","Matthew","LDP","Liberal Democratic Party","Preference Count",0
"88","Bean",5,"DONNELLY","Matthew","LDP","Liberal Democratic Party","Transfer Count",0
"89","Bean",5,"FAULKNER","Therese Mary","AUP","Australian Progressives","Preference Count",0
"90","Bean",5,"FAULKNER","Therese Mary","AUP","Australian Progressives","Transfer Count",0
"91","Bean",5,"HANLEY","Tony","UAPP","United Australia Party","Preference Count",0
"92","Bean",5,"HANLEY","Tony","UAPP","United Australia Party","Transfer Count",0
"93","Bean",5,"RUSHTON","Ben Anthony","GAP","The Great Australian Party","Preference Count",0
"94","Bean",5,"RUSHTON","Ben Anthony","GAP","The Great Australian Party","Transfer Count",0
"95","Bean",5,"SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Preference Count",39736
"96","Bean",5,"SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Transfer Count",3219
"97","Bean",6,"CHRISTIE","Jamie Alan","IND","Independent","Preference Count",0
"98","Bean",6,"CHRISTIE","Jamie Alan","IND","Independent","Transfer Count",0
"99","Bean",6,"COCKS","Edward John","LP","Liberal Party of Australia - ACT Division","Preference Count",39484
"100","Bean",6,"COCKS","Edward John","LP","Liberal Party of Australia - ACT Division","Transfer Count",2814
"101","Bean",6,"DAVIS","Johnathan Reginald","GRN","Australian Greens","Preference Count",0
"102","Bean",6,"DAVIS","Johnathan Reginald","GRN","Australian Greens","Transfer Count",-16533
"103","Bean",6,"DONNELLY","Matthew","LDP","Liberal Democratic Party","Preference Count",0
"104","Bean",6,"DONNELLY","Matthew","LDP","Liberal Democratic Party","Transfer Count",0
"105","Bean",6,"FAULKNER","Therese Mary","AUP","Australian Progressives","Preference Count",0
"106","Bean",6,"FAULKNER","Therese Mary","AUP","Australian Progressives","Transfer Count",0
"107","Bean",6,"HANLEY","Tony","UAPP","United Australia Party","Preference Count",0
"108","Bean",6,"HANLEY","Tony","UAPP","United Australia Party","Transfer Count",0
"109","Bean",6,"RUSHTON","Ben Anthony","GAP","The Great Australian Party","Preference Count",0
"110","Bean",6,"RUSHTON","Ben Anthony","GAP","The Great Australian Party","Transfer Count",0
"111","Bean",6,"SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Preference Count",53455
"112","Bean",6,"SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Transfer Count",13719
"113","Canberra",0,"BOHM","Timothy","IND","Independent","Preference Count",4062
"114","Canberra",0,"BOHM","Timothy","IND","Independent","Transfer Count",0
"115","Canberra",0,"DE MAINE","Gregory John","UAPP","United Australia Party","Preference Count",1361
"116","Canberra",0,"DE MAINE","Gregory John","UAPP","United Australia Party","Transfer Count",0
"117","Canberra",0,"HOLLO","Timothy Isaac","GRN","Australian Greens","Preference Count",20144
"118","Canberra",0,"HOLLO","Timothy Isaac","GRN","Australian Greens","Transfer Count",0
"119","Canberra",0,"KNIGHT","Robert John","AUP","Australian Progressives","Preference Count",1784
"120","Canberra",0,"KNIGHT","Robert John","AUP","Australian Progressives","Transfer Count",0
"121","Canberra",0,"PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Preference Count",34989
"122","Canberra",0,"PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Transfer Count",0
"123","Canberra",0,"ZAKI","Mina","LP","Liberal Party of Australia - ACT Division","Preference Count",24063
"124","Canberra",0,"ZAKI","Mina","LP","Liberal Party of Australia - ACT Division","Transfer Count",0
"125","Canberra",1,"BOHM","Timothy","IND","Independent","Preference Count",4382
"126","Canberra",1,"BOHM","Timothy","IND","Independent","Transfer Count",320
"127","Canberra",1,"DE MAINE","Gregory John","UAPP","United Australia Party","Preference Count",0
"128","Canberra",1,"DE MAINE","Gregory John","UAPP","United Australia Party","Transfer Count",-1361
"129","Canberra",1,"HOLLO","Timothy Isaac","GRN","Australian Greens","Preference Count",20216
"130","Canberra",1,"HOLLO","Timothy Isaac","GRN","Australian Greens","Transfer Count",72
"131","Canberra",1,"KNIGHT","Robert John","AUP","Australian Progressives","Preference Count",2005
"132","Canberra",1,"KNIGHT","Robert John","AUP","Australian Progressives","Transfer Count",221
"133","Canberra",1,"PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Preference Count",35138
"134","Canberra",1,"PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Transfer Count",149
"135","Canberra",1,"ZAKI","Mina","LP","Liberal Party of Australia - ACT Division","Preference Count",24662
"136","Canberra",1,"ZAKI","Mina","LP","Liberal Party of Australia - ACT Division","Transfer Count",599
"137","Canberra",2,"BOHM","Timothy","IND","Independent","Preference Count",5006
"138","Canberra",2,"BOHM","Timothy","IND","Independent","Transfer Count",624
"139","Canberra",2,"DE MAINE","Gregory John","UAPP","United Australia Party","Preference Count",0
"140","Canberra",2,"DE MAINE","Gregory John","UAPP","United Australia Party","Transfer Count",0
"141","Canberra",2,"HOLLO","Timothy Isaac","GRN","Australian Greens","Preference Count",20894
"142","Canberra",2,"HOLLO","Timothy Isaac","GRN","Australian Greens","Transfer Count",678
"143","Canberra",2,"KNIGHT","Robert John","AUP","Australian Progressives","Preference Count",0
"144","Canberra",2,"KNIGHT","Robert John","AUP","Australian Progressives","Transfer Count",-2005
"145","Canberra",2,"PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Preference Count",35563
"146","Canberra",2,"PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Transfer Count",425
"147","Canberra",2,"ZAKI","Mina","LP","Liberal Party of Australia - ACT Division","Preference Count",24940
"148","Canberra",2,"ZAKI","Mina","LP","Liberal Party of Australia - ACT Division","Transfer Count",278
"149","Canberra",3,"BOHM","Timothy","IND","Independent","Preference Count",0
"150","Canberra",3,"BOHM","Timothy","IND","Independent","Transfer Count",-5006
"151","Canberra",3,"DE MAINE","Gregory John","UAPP","United Australia Party","Preference Count",0
"152","Canberra",3,"DE MAINE","Gregory John","UAPP","United Australia Party","Transfer Count",0
"153","Canberra",3,"HOLLO","Timothy Isaac","GRN","Australian Greens","Preference Count",22643
"154","Canberra",3,"HOLLO","Timothy Isaac","GRN","Australian Greens","Transfer Count",1749
"155","Canberra",3,"KNIGHT","Robert John","AUP","Australian Progressives","Preference Count",0
"156","Canberra",3,"KNIGHT","Robert John","AUP","Australian Progressives","Transfer Count",0
"157","Canberra",3,"PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Preference Count",37262
"158","Canberra",3,"PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Transfer Count",1699
"159","Canberra",3,"ZAKI","Mina","LP","Liberal Party of Australia - ACT Division","Preference Count",26498
"160","Canberra",3,"ZAKI","Mina","LP","Liberal Party of Australia - ACT Division","Transfer Count",1558
"161","Canberra",4,"BOHM","Timothy","IND","Independent","Preference Count",0
"162","Canberra",4,"BOHM","Timothy","IND","Independent","Transfer Count",0
"163","Canberra",4,"DE MAINE","Gregory John","UAPP","United Australia Party","Preference Count",0
"164","Canberra",4,"DE MAINE","Gregory John","UAPP","United Australia Party","Transfer Count",0
"165","Canberra",4,"HOLLO","Timothy Isaac","GRN","Australian Greens","Preference Count",0
"166","Canberra",4,"HOLLO","Timothy Isaac","GRN","Australian Greens","Transfer Count",-22643
"167","Canberra",4,"KNIGHT","Robert John","AUP","Australian Progressives","Preference Count",0
"168","Canberra",4,"KNIGHT","Robert John","AUP","Australian Progressives","Transfer Count",0
"169","Canberra",4,"PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Preference Count",57961
"170","Canberra",4,"PAYNE","Alicia Emma","ALP","Australian Labor Party (ACT Branch)","Transfer Count",20699
"171","Canberra",4,"ZAKI","Mina","LP","Liberal Party of Australia - ACT Division","Preference Count",28442
"172","Canberra",4,"ZAKI","Mina","LP","Liberal Party of Australia - ACT Division","Transfer Count",1944
"173","Fenner",0,"BRADDOCK","Andrew","GRN","Australian Greens","Preference Count",12492
"174","Fenner",0,"BRADDOCK","Andrew","GRN","Australian Greens","Transfer Count",0
"175","Fenner",0,"CASTLEY","Leanne Gaye","LP","Liberal Party of Australia - ACT Division","Preference Count",30025
"176","Fenner",0,"CASTLEY","Leanne Gaye","LP","Liberal Party of Australia - ACT Division","Transfer Count",0
"177","Fenner",0,"HODGSON","Glen Joseph","UAPP","United Australia Party","Preference Count",3529
"178","Fenner",0,"HODGSON","Glen Joseph","UAPP","United Australia Party","Transfer Count",0
"179","Fenner",0,"LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Preference Count",38864
"180","Fenner",0,"LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Transfer Count",0
"181","Fenner",0,"RATLHAGANE","Kagiso","AUP","Australian Progressives","Preference Count",1723
"182","Fenner",0,"RATLHAGANE","Kagiso","AUP","Australian Progressives","Transfer Count",0
"183","Fenner",1,"BRADDOCK","Andrew","GRN","Australian Greens","Preference Count",13199
"184","Fenner",1,"BRADDOCK","Andrew","GRN","Australian Greens","Transfer Count",707
"185","Fenner",1,"CASTLEY","Leanne Gaye","LP","Liberal Party of Australia - ACT Division","Preference Count",30249
"186","Fenner",1,"CASTLEY","Leanne Gaye","LP","Liberal Party of Australia - ACT Division","Transfer Count",224
"187","Fenner",1,"HODGSON","Glen Joseph","UAPP","United Australia Party","Preference Count",3893
"188","Fenner",1,"HODGSON","Glen Joseph","UAPP","United Australia Party","Transfer Count",364
"189","Fenner",1,"LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Preference Count",39292
"190","Fenner",1,"LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Transfer Count",428
"191","Fenner",1,"RATLHAGANE","Kagiso","AUP","Australian Progressives","Preference Count",0
"192","Fenner",1,"RATLHAGANE","Kagiso","AUP","Australian Progressives","Transfer Count",-1723
"193","Fenner",2,"BRADDOCK","Andrew","GRN","Australian Greens","Preference Count",14404
"194","Fenner",2,"BRADDOCK","Andrew","GRN","Australian Greens","Transfer Count",1205
"195","Fenner",2,"CASTLEY","Leanne Gaye","LP","Liberal Party of Australia - ACT Division","Preference Count",32105
"196","Fenner",2,"CASTLEY","Leanne Gaye","LP","Liberal Party of Australia - ACT Division","Transfer Count",1856
"197","Fenner",2,"HODGSON","Glen Joseph","UAPP","United Australia Party","Preference Count",0
"198","Fenner",2,"HODGSON","Glen Joseph","UAPP","United Australia Party","Transfer Count",-3893
"199","Fenner",2,"LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Preference Count",40124
"200","Fenner",2,"LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Transfer Count",832
"201","Fenner",2,"RATLHAGANE","Kagiso","AUP","Australian Progressives","Preference Count",0
"202","Fenner",2,"RATLHAGANE","Kagiso","AUP","Australian Progressives","Transfer Count",0
"203","Fenner",3,"BRADDOCK","Andrew","GRN","Australian Greens","Preference Count",0
"204","Fenner",3,"BRADDOCK","Andrew","GRN","Australian Greens","Transfer Count",-14404
"205","Fenner",3,"CASTLEY","Leanne Gaye","LP","Liberal Party of Australia - ACT Division","Preference Count",34171
"206","Fenner",3,"CASTLEY","Leanne Gaye","LP","Liberal Party of Australia - ACT Division","Transfer Count",2066
"207","Fenner",3,"HODGSON","Glen Joseph","UAPP","United Australia Party","Preference Count",0
"208","Fenner",3,"HODGSON","Glen Joseph","UAPP","United Australia Party","Transfer Count",0
"209","Fenner",3,"LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Preference Count",52462
"210","Fenner",3,"LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Transfer Count",12338
"211","Fenner",3,"RATLHAGANE","Kagiso","AUP","Australian Progressives","Preference Count",0
"212","Fenner",3,"RATLHAGANE","Kagiso","AUP","Australian Progressives","Transfer Count",0
"213","Banks",0,"COLEMAN","David Bernard","LP","Liberal Party of Australia, NSW Division","Preference Count",46709
"214","Banks",0,"COLEMAN","David Bernard","LP","Liberal Party of Australia, NSW Division","Transfer Count",0
"215","Banks",0,"DRAGONE","Gianluca Antonio","GRN","The Greens NSW","Preference Count",5339
"216","Banks",0,"DRAGONE","Gianluca Antonio","GRN","The Greens NSW","Transfer Count",0
"217","Banks",0,"GAMBIAN","Christopher Paul","ALP","Australian Labor Party (N.S.W. Branch)","Preference Count",33341
"218","Banks",0,"GAMBIAN","Christopher Paul","ALP","Australian Labor Party (N.S.W. Branch)","Transfer Count",0
"219","Banks",0,"HO","Ki Man","CDP","Christian Democratic Party (Fred Nile Group)","Preference Count",2624
"220","Banks",0,"HO","Ki Man","CDP","Christian Democratic Party (Fred Nile Group)","Transfer Count",0
"221","Banks",0,"THAKUR","Anjali","AJP","Animal Justice Party","Preference Count",1688
"222","Banks",0,"THAKUR","Anjali","AJP","Animal Justice Party","Transfer Count",0
"223","Banks",0,"WRIGHT","Reginald Keith","UAPP","United Australia Party","Preference Count",2029
"224","Banks",0,"WRIGHT","Reginald Keith","UAPP","United Australia Party","Transfer Count",0
"225","Banks",1,"COLEMAN","David Bernard","LP","Liberal Party of Australia, NSW Division","Preference Count",46990
"226","Banks",1,"COLEMAN","David Bernard","LP","Liberal Party of Australia, NSW Division","Transfer Count",281
"227","Banks",1,"DRAGONE","Gianluca Antonio","GRN","The Greens NSW","Preference Count",5910
"228","Banks",1,"DRAGONE","Gianluca Antonio","GRN","The Greens NSW","Transfer Count",571
"229","Banks",1,"GAMBIAN","Christopher Paul","ALP","Australian Labor Party (N.S.W. Branch)","Preference Count",33730
"230","Banks",1,"GAMBIAN","Christopher Paul","ALP","Australian Labor Party (N.S.W. Branch)","Transfer Count",389
"231","Banks",1,"HO","Ki Man","CDP","Christian Democratic Party (Fred Nile Group)","Preference Count",2841
"232","Banks",1,"HO","Ki Man","CDP","Christian Democratic Party (Fred Nile Group)","Transfer Count",217
"233","Banks",1,"THAKUR","Anjali","AJP","Animal Justice Party","Preference Count",0
"234","Banks",1,"THAKUR","Anjali","AJP","Animal Justice Party","Transfer Count",-1688
"235","Banks",1,"WRIGHT","Reginald Keith","UAPP","United Australia Party","Preference Count",2259
"236","Banks",1,"WRIGHT","Reginald Keith","UAPP","United Australia Party","Transfer Count",230
"237","Banks",2,"COLEMAN","David Bernard","LP","Liberal Party of Australia, NSW Division","Preference Count",47886
"238","Banks",2,"COLEMAN","David Bernard","LP","Liberal Party of Australia, NSW Division","Transfer Count",896
"239","Banks",2,"DRAGONE","Gianluca Antonio","GRN","The Greens NSW","Preference Count",6253
"240","Banks",2,"DRAGONE","Gianluca Antonio","GRN","The Greens NSW","Transfer Count",343
"241","Banks",2,"GAMBIAN","Christopher Paul","ALP","Australian Labor Party (N.S.W. Branch)","Preference Count",34225
"242","Banks",2,"GAMBIAN","Christopher Paul","ALP","Australian Labor Party (N.S.W. Branch)","Transfer Count",495
"243","Banks",2,"HO","Ki Man","CDP","Christian Democratic Party (Fred Nile Group)","Preference Count",3366
"244","Banks",2,"HO","Ki Man","CDP","Christian Democratic Party (Fred Nile Group)","Transfer Count",525
"245","Banks",2,"THAKUR","Anjali","AJP","Animal Justice Party","Preference Count",0
"246","Banks",2,"THAKUR","Anjali","AJP","Animal Justice Party","Transfer Count",0
"247","Banks",2,"WRIGHT","Reginald Keith","UAPP","United Australia Party","Preference Count",0
"248","Banks",2,"WRIGHT","Reginald Keith","UAPP","United Australia Party","Transfer Count",-2259
"249","Banks",3,"COLEMAN","David Bernard","LP","Liberal Party of Australia, NSW Division","Preference Count",50179
"250","Banks",3,"COLEMAN","David Bernard","LP","Liberal Party of Australia, NSW Division","Transfer Count",2293
"251","Banks",3,"DRAGONE","Gianluca Antonio","GRN","The Greens NSW","Preference Count",6735
"252","Banks",3,"DRAGONE","Gianluca Antonio","GRN","The Greens NSW","Transfer Count",482
"253","Banks",3,"GAMBIAN","Christopher Paul","ALP","Australian Labor Party (N.S.W. Branch)","Preference Count",34816
"254","Banks",3,"GAMBIAN","Christopher Paul","ALP","Australian Labor Party (N.S.W. Branch)","Transfer Count",591
"255","Banks",3,"HO","Ki Man","CDP","Christian Democratic Party (Fred Nile Group)","Preference Count",0
"256","Banks",3,"HO","Ki Man","CDP","Christian Democratic Party (Fred Nile Group)","Transfer Count",-3366
"257","Banks",3,"THAKUR","Anjali","AJP","Animal Justice Party","Preference Count",0
"258","Banks",3,"THAKUR","Anjali","AJP","Animal Justice Party","Transfer Count",0
"259","Banks",3,"WRIGHT","Reginald Keith","UAPP","United Australia Party","Preference Count",0
"260","Banks",3,"WRIGHT","Reginald Keith","UAPP","United Australia Party","Transfer Count",0
"261","Banks",4,"COLEMAN","David Bernard","LP","Liberal Party of Australia, NSW Division","Preference Count",51609
"262","Banks",4,"COLEMAN","David Bernard","LP","Liberal Party of Australia, NSW Division","Transfer Count",1430
"263","Banks",4,"DRAGONE","Gianluca Antonio","GRN","The Greens NSW","Preference Count",0
"264","Banks",4,"DRAGONE","Gianluca Antonio","GRN","The Greens NSW","Transfer Count",-6735
"265","Banks",4,"GAMBIAN","Christopher Paul","ALP","Australian Labor Party (N.S.W. Branch)","Preference Count",40121
"266","Banks",4,"GAMBIAN","Christopher Paul","ALP","Australian Labor Party (N.S.W. Branch)","Transfer Count",5305
"267","Banks",4,"HO","Ki Man","CDP","Christian Democratic Party (Fred Nile Group)","Preference Count",0
"268","Banks",4,"HO","Ki Man","CDP","Christian Democratic Party (Fred Nile Group)","Transfer Count",0
"269","Banks",4,"THAKUR","Anjali","AJP","Animal Justice Party","Preference Count",0
"270","Banks",4,"THAKUR","Anjali","AJP","Animal Justice Party","Transfer Count",0
"271","Banks",4,"WRIGHT","Reginald Keith","UAPP","United Australia Party","Preference Count",0
"272","Banks",4,"WRIGHT","Reginald Keith","UAPP","United Australia Party","Transfer Count",0
"273","Barton",0,"BURNEY","Linda Jean","ALP","Australian Labor Party (N.S.W. Branch)","Preference Count",44227
"274","Barton",0,"BURNEY","Linda Jean","ALP","Australian Labor Party (N.S.W. Branch)","Transfer Count",0
"275","Barton",0,"LIU","Ben Tung","UAPP","United Australia Party","Preference Count",2057
"276","Barton",0,"LIU","Ben Tung","UAPP","United Australia Party","Transfer Count",0
"277","Barton",0,"PARISSIS","Connor","GRN","The Greens NSW","Preference Count",8123
"278","Barton",0,"PARISSIS","Connor","GRN","The Greens NSW","Transfer Count",0
"279","Barton",0,"POLLARD","Phillip Andrew","ON","Pauline Hanson's One Nation","Preference Count",3288
"280","Barton",0,"POLLARD","Phillip Andrew","ON","Pauline Hanson's One Nation","Transfer Count",0
"281","Barton",0,"SHRESTHA","Pramej","LP","Liberal Party of Australia, NSW Division","Preference Count",30109
"282","Barton",0,"SHRESTHA","Pramej","LP","Liberal Party of Australia, NSW Division","Transfer Count",0
"283","Barton",0,"SUSILO","Sonny","CDP","Christian Democratic Party (Fred Nile Group)","Preference Count",2103
"284","Barton",0,"SUSILO","Sonny","CDP","Christian Democratic Party (Fred Nile Group)","Transfer Count",0
"285","Barton",1,"BURNEY","Linda Jean","ALP","Australian Labor Party (N.S.W. Branch)","Preference Count",44697
"286","Barton",1,"BURNEY","Linda Jean","ALP","Australian Labor Party (N.S.W. Branch)","Transfer Count",470
"287","Barton",1,"LIU","Ben Tung","UAPP","United Australia Party","Preference Count",0
"288","Barton",1,"LIU","Ben Tung","UAPP","United Australia Party","Transfer Count",-2057
"289","Barton",1,"PARISSIS","Connor","GRN","The Greens NSW","Preference Count",8373
"290","Barton",1,"PARISSIS","Connor","GRN","The Greens NSW","Transfer Count",250
"291","Barton",1,"POLLARD","Phillip Andrew","ON","Pauline Hanson's One Nation","Preference Count",3692
